Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
41,Jordan Bell\belljo01,C,25,MIN,25,221,14.6,.566,.140,.509,12.8,23.4,17.9,9.3,0.4,3.4,20.5,16.4,,0.1,0.2,0.4,.078,,-3.6,0.4,-3.1,-0.1
42,DeAndre' Bembry\bembrde01,SG,25,ATL,43,915,9.7,.500,.285,.211,3.9,14.0,8.9,12.4,2.8,1.7,19.4,14.0,,-0.5,0.8,0.3,.016,,-3.6,1.4,-2.2,0.0
43,Dragan Bender\bendedr01,SF,22,MIL,7,91,8.6,.582,.429,.143,0.0,20.5,10.9,12.3,0.0,4.8,18.3,12.4,,0.0,0.2,0.2,.106,,-4.1,2.5,-1.6,0.0
44,Dāvis Bertāns\bertada01,PF,27,WAS,38,1111,15.6,.619,.754,.173,2.7,14.8,8.6,8.0,1.1,1.9,7.3,18.5,,2.2,0.1,2.3,.101,,3.3,-2.4,0.9,0.8
45,Patrick Beverley\beverpa01,PG,31,LAC,37,1045,13.2,.545,.592,.142,4.9,16.2,10.7,18.8,2.2,1.9,14.5,13.1,,1.3,1.6,2.9,.135,,1.1,3.0,4.1,1.6
46,Khem Birch\birchkh01,C,27,ORL,34,723,10.5,.527,.009,.607,9.4,15.2,12.2,6.5,1.1,2.5,14.0,9.4,,0.6,0.9,1.5,.100,,-3.1,2.3,-0.8,0.2
47,Goga Bitadze\bitadgo01,C,20,IND,38,351,12.0,.532,.235,.284,6.7,20.5,13.6,7.4,0.3,6.7,15.5,17.0,,0.0,0.5,0.5,.073,,-4.1,2.1,-2.0,0.0
48,Bismack Biyombo\biyombi01,C,27,CHO,43,822,16.2,.567,.000,.511,12.7,21.1,16.7,7.1,0.5,4.0,11.8,17.1,,1.3,0.6,1.9,.111,,-2.4,0.3,-2.1,0.0
49,Nemanja Bjelica\bjeline01,PF,31,SAC,48,1353,16.5,.604,.468,.121,6.5,19.8,13.0,14.6,1.6,2.0,12.9,18.0,,2.4,1.4,3.8,.133,,1.8,1.0,2.8,1.6
50,Eric Bledsoe\bledser01,PG,30,MIL,40,1058,19.3,.585,.308,.300,2.9,13.3,8.4,28.3,1.6,1.7,14.5,24.2,,2.2,1.9,4.1,.185,,1.5,0.9,2.4,1.2
51,Bogdan Bogdanović\bogdabo01,SG,27,SAC,37,1037,14.3,.552,.564,.144,1.4,11.7,6.4,18.7,1.7,0.8,12.7,23.5,,0.6,0.7,1.3,.061,,0.9,-1.7,-0.8,0.3
