,TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,EFG_PCT,FTA_RATE,TM_TOV_PCT,OREB_PCT,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,EFG_PCT_RANK,FTA_RATE_RANK,TM_TOV_PCT_RANK,OREB_PCT_RANK,OPP_EFG_PCT_RANK,OPP_FTA_RATE_RANK,OPP_TOV_PCT_RANK,OPP_OREB_PCT_RANK,CFID,CFPARAMS,season
7,1610612743,Denver Nuggets,82,30,52,0.366,3976.0,0.479,0.278,0.146,0.303,0.504,0.32,0.146,0.3,1,24,24,24,8,25,12,12,10,22,30,18,20,10,Denver Nuggets,2014-15
8,1610612765,Detroit Pistons,82,32,50,0.39,3966.0,0.482,0.261,0.142,0.316,0.502,0.249,0.148,0.288,1,23,23,23,18,24,20,8,3,20,8,17,14,10,Detroit Pistons,2014-15
9,1610612744,Golden State Warriors,82,67,15,0.817,3946.0,0.54,0.239,0.145,0.273,0.47,0.284,0.163,0.297,1,1,1,1,26,1,26,11,24,1,20,7,18,10,Golden State Warriors,2014-15
10,1610612745,Houston Rockets,82,56,26,0.683,3961.0,0.512,0.312,0.17,0.305,0.486,0.277,0.167,0.314,1,3,3,3,20,7,2,28,9,7,16,5,27,10,Houston Rockets,2014-15
11,1610612754,Indiana Pacers,82,38,44,0.463,3971.0,0.484,0.266,0.148,0.286,0.478,0.288,0.135,0.265,1,18,18,18,13,23,17,16,19,4,22,25,2,10,Indiana Pacers,2014-15
12,1610612746,Los Angeles Clippers,82,56,26,0.683,3946.0,0.533,0.303,0.129,0.272,0.493,0.312,0.149,0.284,1,3,3,3,26,2,6,2,26,14,29,15,9,10,Los Angeles Clippers,2014-15
13,1610612747,Los Angeles Lakers,82,21,61,0.256,3986.0,0.473,0.276,0.138,0.29,0.518,0.311,0.135,0.28,1,27,27,27,3,26,14,5,13,29,28,24,7,10,Los Angeles Lakers,2014-15
14,1610612763,Memphis Grizzlies,82,55,27,0.671,3981.0,0.489,0.276,0.142,0.288,0.492,0.247,0.163,0.284,1,5,5,5,6,20,13,9,18,12,7,6,10,10,Memphis Grizzlies,2014-15
15,1610612748,Miami Heat,82,37,45,0.451,3946.0,0.5,0.306,0.161,0.284,0.505,0.292,0.162,0.313,1,21,21,21,26,12,4,25,20,23,24,8,25,10,Miami Heat,2014-15
16,1610612749,Milwaukee Bucks,82,41,41,0.5,3986.0,0.499,0.258,0.175,0.29,0.487,0.298,0.181,0.314,1,15,15,15,3,13,23,29,14,8,26,1,26,10,Milwaukee Bucks,2014-15
17,1610612750,Minnesota Timberwolves,82,16,66,0.195,3961.0,0.468,0.309,0.156,0.311,0.537,0.246,0.158,0.318,1,30,30,30,20,28,3,21,7,30,6,10,29,10,Minnesota Timberwolves,2014-15
18,1610612740,New Orleans Pelicans,82,45,37,0.549,3956.0,0.501,0.263,0.143,0.309,0.496,0.257,0.132,0.288,1,13,13,13,23,11,18,10,8,16,11,28,13,10,New Orleans Pelicans,2014-15
19,1610612752,New York Knicks,82,17,65,0.207,3971.0,0.47,0.234,0.158,0.289,0.512,0.308,0.151,0.309,1,29,29,29,13,27,27,24,16,27,27,14,23,10,New York Knicks,2014-15
20,1610612760,Oklahoma City Thunder,82,45,37,0.549,3966.0,0.492,0.284,0.151,0.318,0.489,0.286,0.14,0.27,1,13,13,13,18,17,11,18,2,10,21,23,4,10,Oklahoma City Thunder,2014-15
21,1610612753,Orlando Magic,82,25,57,0.305,3951.0,0.494,0.23,0.157,0.269,0.514,0.279,0.152,0.284,1,26,26,26,25,16,29,22,29,28,17,13,8,10,Orlando Magic,2014-15
22,1610612755,Philadelphia 76ers,82,18,64,0.22,3961.0,0.459,0.288,0.183,0.293,0.497,0.298,0.172,0.314,1,28,28,28,20,29,9,30,12,18,25,2,28,10,Philadelphia 76ers,2014-15
23,1610612756,Phoenix Suns,82,39,43,0.476,3976.0,0.501,0.251,0.154,0.281,0.497,0.291,0.159,0.302,1,17,17,17,8,10,25,20,22,17,23,9,21,10,Phoenix Suns,2014-15
24,1610612757,Portland Trail Blazers,82,51,31,0.622,3971.0,0.508,0.225,0.142,0.282,0.476,0.24,0.127,0.272,1,8,8,8,13,9,30,7,21,3,2,30,5,10,Portland Trail Blazers,2014-15
25,1610612758,Sacramento Kings,82,29,53,0.354,3971.0,0.49,0.363,0.168,0.313,0.507,0.268,0.133,0.285,1,25,25,25,13,19,1,26,4,26,13,27,11,10,Sacramento Kings,2014-15
26,1610612759,San Antonio Spurs,82,55,27,0.671,3991.0,0.517,0.256,0.146,0.272,0.484,0.256,0.149,0.27,1,5,5,5,1,5,24,14,25,6,10,16,3,10,San Antonio Spurs,2014-15
27,1610612761,Toronto Raptors,82,49,33,0.598,3971.0,0.508,0.295,0.137,0.301,0.506,0.283,0.153,0.311,1,11,11,11,13,8,8,4,11,24,18,12,24,10,Toronto Raptors,2014-15
28,1610612762,Utah Jazz,82,38,44,0.463,3941.0,0.494,0.297,0.168,0.332,0.491,0.267,0.144,0.285,1,18,18,18,30,15,7,27,1,11,12,21,12,10,Utah Jazz,2014-15
29,1610612764,Washington Wizards,82,46,36,0.561,3991.0,0.499,0.259,0.157,0.288,0.481,0.284,0.146,0.274,1,12,12,12,1,14,22,23,17,5,19,19,6,10,Washington Wizards,2014-15
0,1610612737,Atlanta Hawks,82,48,34,0.585,3966.0,0.516,0.237,0.152,0.234,0.48,0.256,0.164,0.302,1,7,7,7,11,6,29,21,29,3,7,4,26,10,Atlanta Hawks,2015-16
1,1610612738,Boston Celtics,82,48,34,0.585,3956.0,0.488,0.264,0.138,0.29,0.487,0.306,0.164,0.293,1,7,7,7,23,24,20,5,12,8,27,3,24,10,Boston Celtics,2015-16
2,1610612751,Brooklyn Nets,82,21,61,0.256,3951.0,0.492,0.246,0.153,0.279,0.534,0.23,0.147,0.284,1,28,28,28,26,21,27,22,17,30,1,16,19,10,Brooklyn Nets,2015-16
3,1610612766,Charlotte Hornets,82,48,34,0.585,3971.0,0.502,0.28,0.129,0.244,0.496,0.249,0.138,0.246,1,7,7,7,9,14,13,1,27,13,4,24,1,10,Charlotte Hornets,2015-16
4,1610612741,Chicago Bulls,82,42,40,0.512,3981.0,0.487,0.24,0.142,0.29,0.485,0.247,0.122,0.286,1,14,14,14,3,26,28,12,11,6,3,29,20,10,Chicago Bulls,2015-16
5,1610612739,Cleveland Cavaliers,82,57,25,0.695,3971.0,0.524,0.259,0.143,0.294,0.496,0.275,0.141,0.258,1,3,3,3,9,3,23,13,10,12,16,21,5,10,Cleveland Cavaliers,2015-16
6,1610612742,Dallas Mavericks,82,42,40,0.512,4001.0,0.502,0.265,0.132,0.241,0.504,0.269,0.144,0.277,1,14,14,14,1,13,19,2,28,17,10,17,14,10,Dallas Mavericks,2015-16
7,1610612743,Denver Nuggets,82,33,49,0.402,3966.0,0.489,0.282,0.151,0.304,0.515,0.284,0.141,0.268,1,21,21,21,11,23,12,19,3,22,20,20,9,10,Denver Nuggets,2015-16
8,1610612765,Detroit Pistons,82,44,38,0.537,3976.0,0.491,0.296,0.14,0.313,0.504,0.25,0.139,0.247,1,12,12,12,5,22,5,8,2,16,5,23,2,10,Detroit Pistons,2015-16
9,1610612744,Golden State Warriors,82,73,9,0.89,3976.0,0.563,0.25,0.15,0.267,0.479,0.275,0.143,0.28,1,1,1,1,5,1,25,18,22,2,15,18,15,10,Golden State Warriors,2015-16
10,1610612745,Houston Rockets,82,41,41,0.5,3966.0,0.516,0.352,0.161,0.297,0.516,0.289,0.168,0.308,1,17,17,17,11,7,1,27,8,23,24,2,29,10,Houston Rockets,2015-16
11,1610612754,Indiana Pacers,82,45,37,0.549,3976.0,0.497,0.268,0.151,0.271,0.489,0.273,0.161,0.286,1,11,11,11,5,20,18,20,21,10,14,7,21,10,Indiana Pacers,2015-16
12,1610612746,LA Clippers,82,53,29,0.646,3966.0,0.524,0.318,0.133,0.234,0.48,0.296,0.157,0.303,1,6,6,6,11,5,4,3,30,4,25,8,27,10,LA Clippers,2015-16
13,1610612747,Los Angeles Lakers,82,17,65,0.207,3946.0,0.46,0.292,0.142,0.271,0.523,0.277,0.131,0.288,1,29,29,29,28,30,9,11,19,27,17,28,22,10,Los Angeles Lakers,2015-16
14,1610612763,Memphis Grizzlies,82,42,40,0.512,3966.0,0.477,0.295,0.14,0.298,0.518,0.326,0.171,0.291,1,14,14,14,11,29,6,9,6,24,30,1,23,10,Memphis Grizzlies,2015-16
15,1610612748,Miami Heat,82,48,34,0.585,3966.0,0.508,0.282,0.148,0.28,0.485,0.255,0.136,0.271,1,7,7,7,11,11,11,16,15,7,6,25,11,10,Miami Heat,2015-16
16,1610612749,Milwaukee Bucks,82,33,49,0.402,3966.0,0.499,0.276,0.159,0.286,0.51,0.288,0.162,0.311,1,21,21,21,11,17,14,24,13,19,22,6,30,10,Milwaukee Bucks,2015-16
17,1610612750,Minnesota Timberwolves,82,29,53,0.354,3976.0,0.498,0.332,0.155,0.279,0.524,0.265,0.153,0.298,1,26,26,26,5,18,2,23,18,29,9,12,25,10,Minnesota Timberwolves,2015-16
18,1610612740,New Orleans Pelicans,82,30,52,0.366,3956.0,0.498,0.259,0.137,0.252,0.523,0.287,0.14,0.252,1,25,25,25,23,19,22,4,24,26,21,22,3,10,New Orleans Pelicans,2015-16
19,1610612752,New York Knicks,82,32,50,0.39,3961.0,0.483,0.255,0.142,0.28,0.487,0.271,0.119,0.282,1,24,24,24,19,28,24,10,16,9,12,30,17,10,New York Knicks,2015-16
20,1610612760,Oklahoma City Thunder,82,55,27,0.671,3966.0,0.524,0.292,0.162,0.347,0.484,0.271,0.133,0.28,1,5,5,5,11,4,8,28,1,5,13,27,16,10,Oklahoma City Thunder,2015-16
21,1610612753,Orlando Magic,82,35,47,0.427,3981.0,0.5,0.232,0.144,0.271,0.513,0.288,0.155,0.274,1,20,20,20,3,16,30,14,20,20,23,11,13,10,Orlando Magic,2015-16
22,1610612755,Philadelphia 76ers,82,10,72,0.122,3961.0,0.487,0.269,0.165,0.25,0.51,0.306,0.153,0.307,1,30,30,30,19,27,16,29,26,18,26,13,28,10,Philadelphia 76ers,2015-16
23,1610612756,Phoenix Suns,82,23,59,0.28,3941.0,0.487,0.271,0.173,0.297,0.523,0.317,0.15,0.267,1,27,27,27,29,25,15,30,7,28,29,15,8,10,Phoenix Suns,2015-16
24,1610612757,Portland Trail Blazers,82,44,38,0.537,3961.0,0.511,0.268,0.15,0.294,0.503,0.307,0.136,0.272,1,12,12,12,19,8,17,17,9,15,28,26,12,10,Portland Trail Blazers,2015-16
25,1610612758,Sacramento Kings,82,33,49,0.402,3961.0,0.51,0.295,0.16,0.281,0.521,0.264,0.157,0.283,1,21,21,21,19,10,7,25,14,25,8,9,18,10,Sacramento Kings,2015-16
26,1610612759,San Antonio Spurs,82,67,15,0.817,3941.0,0.526,0.246,0.138,0.266,0.477,0.24,0.157,0.254,1,2,2,2,29,2,26,6,23,1,2,10,4,10,San Antonio Spurs,2015-16
27,1610612761,Toronto Raptors,82,56,26,0.683,3956.0,0.504,0.328,0.139,0.3,0.498,0.269,0.142,0.264,1,4,4,4,23,12,3,7,5,14,11,19,7,10,Toronto Raptors,2015-16
28,1610612762,Utah Jazz,82,40,42,0.488,3991.0,0.501,0.286,0.161,0.303,0.495,0.281,0.15,0.269,1,19,19,19,2,15,10,26,4,11,18,14,10,10,Utah Jazz,2015-16
29,1610612764,Washington Wizards,82,41,41,0.5,3951.0,0.511,0.263,0.145,0.25,0.515,0.283,0.162,0.263,1,17,17,17,26,9,21,15,25,21,19,5,6,10,Washington Wizards,2015-16
0,1610612737,Atlanta Hawks,82,43,39,0.524,3976.0,0.504,0.295,0.16,0.282,0.507,0.232,0.156,0.283,1,11,11,11,4,19,5,28,13,8,4,2,19,10,Atlanta Hawks,2016-17
1,1610612738,Boston Celtics,82,53,29,0.646,3951.0,0.525,0.273,0.136,0.259,0.503,0.29,0.143,0.295,1,4,4,4,25,9,17,7,23,5,25,16,29,10,Boston Celtics,2016-17
2,1610612751,Brooklyn Nets,82,20,62,0.244,3951.0,0.507,0.289,0.162,0.241,0.513,0.275,0.13,0.284,1,30,30,30,25,17,7,29,28,17,14,27,22,10,Brooklyn Nets,2016-17
3,1610612766,Charlotte Hornets,82,36,46,0.439,3966.0,0.501,0.279,0.119,0.247,0.523,0.211,0.135,0.251,1,20,20,20,10,23,12,1,27,23,1,22,3,10,Charlotte Hornets,2016-17
